"folder","relative_path","file","image_no","site","cam_id","date_time","date","time","year","month","day","jday","hour","min","sec","tod","image_type","image_quality","delete_flag","camera_location","start_date","technician_name","service","empty","animal","human","human_activity","murrelet","adult","offspring","egg","species","count","predation_event","tags","second_opinion","good_picture","comments","ID","min2","int_diff","int_diff_secs","murrelet_status","SCMU","CORA","BNOW","PEEM","predation","detection"
"Refuge","2_10_21 to 4_1_21","RCNX2716.JPG","2021_Refuge_104194","Refuge","cam_07","2021-03-01 09:10:00","2021-03-01","09:10:00",2021,3,1,60,9,10,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104194,0,600,10,NA,0,0,0,0,0,0
"Refuge","2_10_21 to 4_1_21","RCNX2717.JPG","2021_Refuge_104195","Refuge","cam_07","2021-03-01 09:20:00","2021-03-01","09:20:00",2021,3,1,60,9,20,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104195,0,600,10,NA,0,0,0,0,0,0
"Refuge","2_10_21 to 4_1_21","RCNX2718.JPG","2021_Refuge_104196","Refuge","cam_07","2021-03-01 09:30:00","2021-03-01","09:30:00",2021,3,1,60,9,30,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104196,0,600,10,NA,0,0,0,0,0,0
"Refuge","2_10_21 to 4_1_21","RCNX2719.JPG","2021_Refuge_104197","Refuge","cam_07","2021-03-01 09:40:00","2021-03-01","09:40:00",2021,3,1,60,9,40,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104197,0,600,10,NA,0,0,0,0,0,0
"Refuge","2_10_21 to 4_1_21","RCNX3007.JPG","2021_Refuge_104485","Refuge","cam_07","2021-03-03 09:40:00","2021-03-03","09:40:00",2021,3,3,62,9,40,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104485,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3072.JPG","2021_Refuge_104550","Refuge","cam_07","2021-03-03 20:30:00","2021-03-03","20:30:00",2021,3,3,62,20,30,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,104550,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3074.JPG","2021_Refuge_104552","Refuge","cam_07","2021-03-03 20:50:00","2021-03-03","20:50:00",2021,3,3,62,20,50,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104552,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3075.JPG","2021_Refuge_104553","Refuge","cam_07","2021-03-03 21:00:00","2021-03-03","21:00:00",2021,3,3,62,21,0,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104553,NA,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3076.JPG","2021_Refuge_104554","Refuge","cam_07","2021-03-03 21:10:00","2021-03-03","21:10:00",2021,3,3,62,21,10,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104554,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3077.JPG","2021_Refuge_104555","Refuge","cam_07","2021-03-03 21:20:00","2021-03-03","21:20:00",2021,3,3,62,21,20,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104555,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3078.JPG","2021_Refuge_104556","Refuge","cam_07","2021-03-03 21:30:00","2021-03-03","21:30:00",2021,3,3,62,21,30,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104556,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3079.JPG","2021_Refuge_104557","Refuge","cam_07","2021-03-03 21:40:00","2021-03-03","21:40:00",2021,3,3,62,21,40,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104557,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3080.JPG","2021_Refuge_104558","Refuge","cam_07","2021-03-03 21:50:00","2021-03-03","21:50:00",2021,3,3,62,21,50,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104558,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3100.JPG","2021_Refuge_104578","Refuge","cam_07","2021-03-04 01:10:00","2021-03-04","01:10:00",2021,3,4,63,1,10,0,"dawn","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,104578,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3508.JPG","2021_Refuge_104986","Refuge","cam_07","2021-03-06 21:06:58","2021-03-06","21:06:58",2021,3,6,65,21,6,58,"dusk","motion","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104986,NA,418,6.966667,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3509.JPG","2021_Refuge_104987","Refuge","cam_07","2021-03-06 21:06:58","2021-03-06","21:06:58",2021,3,6,65,21,6,58,"dusk","motion","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104987,NA,0,0,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3510.JPG","2021_Refuge_104988","Refuge","cam_07","2021-03-06 21:06:59","2021-03-06","21:06:59",2021,3,6,65,21,6,59,"dusk","motion","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104988,NA,1,0.01666667,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3511.JPG","2021_Refuge_104989","Refuge","cam_07","2021-03-06 21:07:00","2021-03-06","21:07:00",2021,3,6,65,21,7,0,"dusk","motion","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104989,NA,1,0.01666667,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX3512.JPG","2021_Refuge_104990","Refuge","cam_07","2021-03-06 21:07:00","2021-03-06","21:07:00",2021,3,6,65,21,7,0,"dusk","motion","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104990,NA,0,0,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX4222.JPG","2021_Refuge_105700","Refuge","cam_07","2021-03-11 19:20:00","2021-03-11","19:20:00",2021,3,11,70,19,20,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,105700,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX5543.JPG","2021_Refuge_107030","Refuge","cam_07","2021-03-21 00:30:00","2021-03-21","00:30:00",2021,3,21,80,0,30,0,"dawn","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,107030,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX6400.JPG","2021_Refuge_107890","Refuge","cam_07","2021-03-26 23:20:00","2021-03-26","23:20:00",2021,3,26,85,23,20,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,107890,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX6707.JPG","2021_Refuge_108197","Refuge","cam_07","2021-03-29 02:30:00","2021-03-29","02:30:00",2021,3,29,88,2,30,0,"dawn","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Mouse",1,"false",NA,"true","false","might just be dust",108197,0,600,10,NA,0,0,0,1,0,1
"Refuge","2_10_21 to 4_1_21","RCNX6847.JPG","2021_Refuge_108337","Refuge","cam_07","2021-03-30 01:50:00","2021-03-30","01:50:00",2021,3,30,89,1,50,0,"dawn","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,108337,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_1_21 to 4_14_21","RCNX0636.JPG","2021_Refuge_109330","Refuge","cam_07","2021-04-05 23:20:00","2021-04-05","23:20:00",2021,4,5,95,23,20,0,"dusk","timelapse","Ok","false","Refuge Cave","04/01/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,109330,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_1_21 to 4_14_21","RCNX0804.JPG","2021_Refuge_109498","Refuge","cam_07","2021-04-07 03:20:00","2021-04-07","03:20:00",2021,4,7,97,3,20,0,"dawn","timelapse","Ok","false","Refuge Cave","04/01/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Mouse",1,"false",NA,"false","false",NA,109498,0,600,10,NA,0,0,0,1,0,1
"Refuge","4_1_21 to 4_14_21","RCNX1085.JPG","2021_Refuge_109779","Refuge","cam_07","2021-04-09 02:10:00","2021-04-09","02:10:00",2021,4,9,99,2,10,0,"dawn","timelapse","Ok","false","Refuge Cave","04/01/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,109779,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_1_21 to 4_14_21","RCNX1086.JPG","2021_Refuge_109780","Refuge","cam_07","2021-04-09 02:20:00","2021-04-09","02:20:00",2021,4,9,99,2,20,0,"dawn","timelapse","Ok","false","Refuge Cave","04/01/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,109780,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_1_21 to 4_14_21","RCNX1771.JPG","2021_Refuge_110465","Refuge","cam_07","2021-04-13 20:30:00","2021-04-13","20:30:00",2021,4,13,103,20,30,0,"dusk","timelapse","Ok","false","Refuge Cave","04/01/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,110465,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX0047.JPG","2021_Refuge_110606","Refuge","cam_07","2021-04-14 20:20:00","2021-04-14","20:20:00",2021,4,14,104,20,20,0,"dusk","timelapse","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,110606,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX0346.JPG","2021_Refuge_110905","Refuge","cam_07","2021-04-16 22:10:00","2021-04-16","22:10:00",2021,4,16,106,22,10,0,"dusk","timelapse","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,110905,0,600,10,"alive",1,0,0,0,0,1
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX1872.JPG","2021_Refuge_112431","Refuge","cam_07","2021-04-27 12:27:04","2021-04-27","12:27:04",2021,4,27,117,12,27,4,"day","motion","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Other",1,"false",NA,"true","false","glacous-winged gull; not sure if predation event",112431,7,424,7.066667,NA,0,0,0,0,0,0
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX1873.JPG","2021_Refuge_112432","Refuge","cam_07","2021-04-27 12:27:05","2021-04-27","12:27:05",2021,4,27,117,12,27,5,"day","motion","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Other",1,"false",NA,"true","false","glacous-winged gull; not sure if predation event",112432,7,1,0.01666667,NA,0,0,0,0,0,0
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX1874.JPG","2021_Refuge_112433","Refuge","cam_07","2021-04-27 12:27:05","2021-04-27","12:27:05",2021,4,27,117,12,27,5,"day","motion","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Other",1,"false",NA,"true","false","glacous-winged gull; not sure if predation event",112433,7,0,0,NA,0,0,0,0,0,0
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX1875.JPG","2021_Refuge_112434","Refuge","cam_07","2021-04-27 12:27:06","2021-04-27","12:27:06",2021,4,27,117,12,27,6,"day","motion","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Other",1,"false",NA,"true","false","glacous-winged gull; not sure if predation event",112434,7,1,0.01666667,NA,0,0,0,0,0,0
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX1876.JPG","2021_Refuge_112435","Refuge","cam_07","2021-04-27 12:27:07","2021-04-27","12:27:07",2021,4,27,117,12,27,7,"day","motion","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Other",1,"false",NA,"true","false","glacous-winged gull; not sure if predation event",112435,7,1,0.01666667,NA,0,0,0,0,0,0
"Refuge","4_14_21 to 4_28_21\100RECNX","RCNX1978.JPG","2021_Refuge_112537","Refuge","cam_07","2021-04-28 05:20:00","2021-04-28","05:20:00",2021,4,28,118,5,20,0,"dawn","timelapse","Ok","false","Refuge Cave","04/14/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Mouse",1,"false",NA,"false","false",NA,112537,0,600,10,NA,0,0,0,1,0,1
