"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-12,43,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,18,"dusk","motion",0,0,0
