"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-12,43,1,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,20,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,21,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,22,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-12,43,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-12,43,23,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,0,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,1,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,20,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,21,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,22,"dusk","timelapse",6,1,0
"Lava1","cam_01",2021-02-13,44,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,23,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,0,"dawn","motion",5,1,0
"Lava1","cam_01",2021-02-14,45,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,1,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,20,"dusk","timelapse",6,1,0
"Lava1","cam_01",2021-02-14,45,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,21,"dusk","timelapse",6,1,0
"Lava1","cam_01",2021-02-14,45,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,22,"dusk","timelapse",6,1,0
"Lava1","cam_01",2021-02-14,45,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,23,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,0,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,1,"dawn","timelapse",6,0,0
