Begin.File,site,cam_id,date,time,date_time,yr,mnth,d,jday,hr,min,sec,time.since2,beaf,SCMU,CORA,tod
S4A04765_20210304_033000.wav,Lava1,cam_01,2021-03-04,03:30:00,2021-03-04T03:30:00Z,2021,3,4,63,3,30,0,-600,before,1,0,dawn
S4A04765_20210306_210000.wav,Lava1,cam_01,2021-03-06,21:00:00,2021-03-06T21:00:00Z,2021,3,6,65,21,0,0,-600,before,1,0,dusk
S4A04765_20210308_223000.wav,Lava1,cam_01,2021-03-08,22:30:00,2021-03-08T22:30:00Z,2021,3,8,67,22,30,0,600,after,1,0,dusk
S4A04765_20210308_224000.wav,Lava1,cam_01,2021-03-08,22:40:00,2021-03-08T22:40:00Z,2021,3,8,67,22,40,0,600,after,1,0,dusk
S4A04765_20210308_225000.wav,Lava1,cam_01,2021-03-08,22:50:00,2021-03-08T22:50:00Z,2021,3,8,67,22,50,0,-600,before,1,0,dusk
S4A04765_20210308_230000.wav,Lava1,cam_01,2021-03-08,23:00:00,2021-03-08T23:00:00Z,2021,3,8,67,23,0,0,-600,before,1,0,dusk
S4A04765_20210308_234000.wav,Lava1,cam_01,2021-03-08,23:40:00,2021-03-08T23:40:00Z,2021,3,8,67,23,40,0,600,after,1,0,dusk
S4A04765_20210308_235000.wav,Lava1,cam_01,2021-03-08,23:50:00,2021-03-08T23:50:00Z,2021,3,8,67,23,50,0,0,now,1,0,dusk
S4A04765_20210309_000000.wav,Lava1,cam_01,2021-03-09,00:00:00,2021-03-09T00:00:00Z,2021,3,9,68,0,0,0,-600,before,1,0,dawn
S4A04765_20210309_040000.wav,Lava1,cam_01,2021-03-09,04:00:00,2021-03-09T04:00:00Z,2021,3,9,68,4,0,0,600,after,1,0,dawn
S4A04765_20210311_003000.wav,Lava1,cam_01,2021-03-11,00:30:00,2021-03-11T00:30:00Z,2021,3,11,70,0,30,0,600,after,1,0,dawn
S4A04765_20210311_004000.wav,Lava1,cam_01,2021-03-11,00:40:00,2021-03-11T00:40:00Z,2021,3,11,70,0,40,0,0,now,1,0,dawn
S4A04765_20210311_005000.wav,Lava1,cam_01,2021-03-11,00:50:00,2021-03-11T00:50:00Z,2021,3,11,70,0,50,0,-600,before,1,0,dawn
S4A04765_20210311_010000.wav,Lava1,cam_01,2021-03-11,01:00:00,2021-03-11T01:00:00Z,2021,3,11,70,1,0,0,0,now,1,0,dawn
S4A04765_20210311_011000.wav,Lava1,cam_01,2021-03-11,01:10:00,2021-03-11T01:10:00Z,2021,3,11,70,1,10,0,-600,before,1,0,dawn
S4A04765_20210311_190000.wav,Lava1,cam_01,2021-03-11,19:00:00,2021-03-11T19:00:00Z,2021,3,11,70,19,0,0,0,now,1,0,dusk
S4A04765_20210311_233000.wav,Lava1,cam_01,2021-03-11,23:30:00,2021-03-11T23:30:00Z,2021,3,11,70,23,30,0,600,after,1,0,dusk
S4A04765_20210311_234000.wav,Lava1,cam_01,2021-03-11,23:40:00,2021-03-11T23:40:00Z,2021,3,11,70,23,40,0,0,now,1,0,dusk
S4A04765_20210311_235000.wav,Lava1,cam_01,2021-03-11,23:50:00,2021-03-11T23:50:00Z,2021,3,11,70,23,50,0,-600,before,1,0,dusk
S4A04765_20210312_203000.wav,Lava1,cam_01,2021-03-12,20:30:00,2021-03-12T20:30:00Z,2021,3,12,71,20,30,0,600,after,1,0,dusk
S4A04765_20210312_204000.wav,Lava1,cam_01,2021-03-12,20:40:00,2021-03-12T20:40:00Z,2021,3,12,71,20,40,0,-600,before,0,0,dusk
S4A04765_20210312_205000.wav,Lava1,cam_01,2021-03-12,20:50:00,2021-03-12T20:50:00Z,2021,3,12,71,20,50,0,-600,before,1,0,dusk
S4A04765_20210312_213000.wav,Lava1,cam_01,2021-03-12,21:30:00,2021-03-12T21:30:00Z,2021,3,12,71,21,30,0,600,after,1,0,dusk
S4A04765_20210312_214000.wav,Lava1,cam_01,2021-03-12,21:40:00,2021-03-12T21:40:00Z,2021,3,12,71,21,40,0,0,now,1,0,dusk
S4A04765_20210312_215000.wav,Lava1,cam_01,2021-03-12,21:50:00,2021-03-12T21:50:00Z,2021,3,12,71,21,50,0,-600,before,1,0,dusk
S4A04765_20210312_220000.wav,Lava1,cam_01,2021-03-12,22:00:00,2021-03-12T22:00:00Z,2021,3,12,71,22,0,0,600,after,1,0,dusk
S4A04765_20210312_221000.wav,Lava1,cam_01,2021-03-12,22:10:00,2021-03-12T22:10:00Z,2021,3,12,71,22,10,0,600,after,1,0,dusk
S4A04765_20210312_222000.wav,Lava1,cam_01,2021-03-12,22:20:00,2021-03-12T22:20:00Z,2021,3,12,71,22,20,0,-600,before,1,0,dusk
S4A04765_20210312_223000.wav,Lava1,cam_01,2021-03-12,22:30:00,2021-03-12T22:30:00Z,2021,3,12,71,22,30,0,-600,before,1,0,dusk
S4A04765_20210312_230000.wav,Lava1,cam_01,2021-03-12,23:00:00,2021-03-12T23:00:00Z,2021,3,12,71,23,0,0,600,after,1,0,dusk
S4A04765_20210312_231000.wav,Lava1,cam_01,2021-03-12,23:10:00,2021-03-12T23:10:00Z,2021,3,12,71,23,10,0,600,after,1,0,dusk
S4A04765_20210312_232000.wav,Lava1,cam_01,2021-03-12,23:20:00,2021-03-12T23:20:00Z,2021,3,12,71,23,20,0,-600,before,1,0,dusk
S4A04765_20210312_233000.wav,Lava1,cam_01,2021-03-12,23:30:00,2021-03-12T23:30:00Z,2021,3,12,71,23,30,0,-600,before,1,0,dusk
S4A04765_20210312_234000.wav,Lava1,cam_01,2021-03-12,23:40:00,2021-03-12T23:40:00Z,2021,3,12,71,23,40,0,-600,before,1,0,dusk
S4A04765_20210312_235000.wav,Lava1,cam_01,2021-03-12,23:50:00,2021-03-12T23:50:00Z,2021,3,12,71,23,50,0,-600,before,1,0,dusk
S4A04765_20210313_203000.wav,Lava1,cam_01,2021-03-13,20:30:00,2021-03-13T20:30:00Z,2021,3,13,72,20,30,0,600,after,1,0,dusk
S4A04765_20210313_204000.wav,Lava1,cam_01,2021-03-13,20:40:00,2021-03-13T20:40:00Z,2021,3,13,72,20,40,0,0,now,1,0,dusk
S4A04765_20210313_205000.wav,Lava1,cam_01,2021-03-13,20:50:00,2021-03-13T20:50:00Z,2021,3,13,72,20,50,0,-600,before,1,0,dusk
S4A04765_20210313_210000.wav,Lava1,cam_01,2021-03-13,21:00:00,2021-03-13T21:00:00Z,2021,3,13,72,21,0,0,600,after,1,0,dusk
S4A04765_20210313_211000.wav,Lava1,cam_01,2021-03-13,21:10:00,2021-03-13T21:10:00Z,2021,3,13,72,21,10,0,-600,before,1,0,dusk
S4A04765_20210313_213000.wav,Lava1,cam_01,2021-03-13,21:30:00,2021-03-13T21:30:00Z,2021,3,13,72,21,30,0,0,now,1,0,dusk
S4A04765_20210313_214000.wav,Lava1,cam_01,2021-03-13,21:40:00,2021-03-13T21:40:00Z,2021,3,13,72,21,40,0,-600,before,1,0,dusk
S4A04765_20210313_220000.wav,Lava1,cam_01,2021-03-13,22:00:00,2021-03-13T22:00:00Z,2021,3,13,72,22,0,0,600,after,1,0,dusk
S4A04765_20210313_221000.wav,Lava1,cam_01,2021-03-13,22:10:00,2021-03-13T22:10:00Z,2021,3,13,72,22,10,0,0,now,1,0,dusk
S4A04765_20210313_222000.wav,Lava1,cam_01,2021-03-13,22:20:00,2021-03-13T22:20:00Z,2021,3,13,72,22,20,0,-600,before,1,0,dusk
S4A04765_20210315_232000.wav,Lava1,cam_01,2021-03-15,23:20:00,2021-03-15T23:20:00Z,2021,3,15,74,23,20,0,600,after,1,0,dusk
S4A04765_20210315_233000.wav,Lava1,cam_01,2021-03-15,23:30:00,2021-03-15T23:30:00Z,2021,3,15,74,23,30,0,600,after,1,0,dusk
S4A04765_20210315_234000.wav,Lava1,cam_01,2021-03-15,23:40:00,2021-03-15T23:40:00Z,2021,3,15,74,23,40,0,-600,before,1,0,dusk
S4A04765_20210211_005000.wav,Lava1,cam_01,2021-02-11,00:50:00,2021-02-11T00:50:00Z,2021,2,11,42,0,50,0,600,after,1,0,dawn
S4A04765_20210211_010000.wav,Lava1,cam_01,2021-02-11,01:00:00,2021-02-11T01:00:00Z,2021,2,11,42,1,0,0,0,now,1,0,dawn
S4A04765_20210211_011000.wav,Lava1,cam_01,2021-02-11,01:10:00,2021-02-11T01:10:00Z,2021,2,11,42,1,10,0,-600,before,1,0,dawn
S4A04765_20210213_224000.wav,Lava1,cam_01,2021-02-13,22:40:00,2021-02-13T22:40:00Z,2021,2,13,44,22,40,0,0,now,1,0,dusk
S4A04765_20210213_225000.wav,Lava1,cam_01,2021-02-13,22:50:00,2021-02-13T22:50:00Z,2021,2,13,44,22,50,0,-600,before,1,0,dusk
S4A04765_20210214_003000.wav,Lava1,cam_01,2021-02-14,00:30:00,2021-02-14T00:30:00Z,2021,2,14,45,0,30,0,928,after,1,0,dawn
S4A04765_20210214_005000.wav,Lava1,cam_01,2021-02-14,00:50:00,2021-02-14T00:50:00Z,2021,2,14,45,0,50,0,-272,before,1,0,dawn
S4A04765_20210214_203000.wav,Lava1,cam_01,2021-02-14,20:30:00,2021-02-14T20:30:00Z,2021,2,14,45,20,30,0,600,after,1,0,dusk
S4A04765_20210214_204000.wav,Lava1,cam_01,2021-02-14,20:40:00,2021-02-14T20:40:00Z,2021,2,14,45,20,40,0,0,now,1,0,dusk
S4A04765_20210214_205000.wav,Lava1,cam_01,2021-02-14,20:50:00,2021-02-14T20:50:00Z,2021,2,14,45,20,50,0,-600,before,1,0,dusk
S4A04765_20210312_145000.wav,Lava1,cam_01,2021-03-12,14:50:00,2021-03-12T14:50:00Z,2021,3,12,71,14,50,0,-446,before,0,1,day
PWR01_20210214_220000.wav,Lava2,cam_02,2021-02-14,22:00:00,2021-02-14T22:00:00Z,2021,2,14,45,22,0,0,600,after,1,0,dusk
