Site,File,RelativePath,Date,Time,Animal,Murrelet,Adult,Offspring,Egg,Species,Count,PredationEvent,SecondOpinion,Comments
Lava1,RCNX2538.JPG,2_10_21 to 4_1_21,2/27/2021,23:50:00,TRUE,TRUE,2,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX2672.JPG,2_10_21 to 4_1_21,2/28/2021,22:10:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX2960.JPG,2_10_21 to 4_1_21,3/2/2021,22:10:00,TRUE,TRUE,2,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX2967.JPG,2_10_21 to 4_1_21,3/2/2021,23:20:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3125.JPG,2_10_21 to 4_1_21,3/4/2021,1:40:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3126.JPG,2_10_21 to 4_1_21,3/4/2021,1:50:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3130.JPG,2_10_21 to 4_1_21,3/4/2021,2:30:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3135.JPG,2_10_21 to 4_1_21,3/4/2021,3:20:00,TRUE,TRUE,2,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3519.JPG,2_10_21 to 4_1_21,3/6/2021,19:20:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3528.JPG,2_10_21 to 4_1_21,3/6/2021,20:50:00,TRUE,TRUE,1,0,FALSE,NA,0,FALSE,FALSE,NA
Lava1,RCNX3806.JPG,2_10_21 to 4_1_21,3/8/2021,19:10:00,TRUE,FALSE,0,0,FALSE,Barn owl,1,FALSE,TRUE,NA
Lava1,RCNX3807.JPG,2_10_21 to 4_1_21,3/8/2021,19:20:00,TRUE,FALSE,0,0,FALSE,Barn owl,1,FALSE,TRUE,NA
