Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
3	Spectrogram 1	1	66.259000000	68.062694887	1.8037	187.500	3125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210614_074000.wav	6.2590	PWR04_20210614_074000.wav	R	
5	Spectrogram 1	1	88.146500000	89.133136519	0.9866	375.000	7812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210614_074000.wav	28.1465	PWR04_20210614_074000.wav	R	
6	Spectrogram 1	1	130.942300000	131.805606954	0.8633	250.000	6500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210614_075000.wav	10.9423	PWR04_20210614_075000.wav	R	
8	Spectrogram 1	1	183.418500000	189.430816290	6.0123	125.000	2375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210614_080000.wav	3.4185	PWR04_20210614_080000.wav	R	
12	Spectrogram 1	1	308.525200000	309.481004128	0.9558	500.000	3875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210615_080000.wav	8.5252	PWR04_20210615_080000.wav	R	
18	Spectrogram 1	1	591.260500000	591.985061194	0.7246	437.500	7375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210620_122000.wav	51.2605	PWR04_20210620_122000.wav	R	
20	Spectrogram 1	1	649.664900000	650.327796412	0.6629	125.000	2375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210620_123000.wav	49.6649	PWR04_20210620_123000.wav	U	could be raven
27	Spectrogram 1	1	770.080900000	770.743796412	0.6629	375.000	2875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210620_125000.wav	50.0809	PWR04_20210620_125000.wav	R	
28	Spectrogram 1	1	780.906500000	781.970217497	1.0637	375.000	8812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\5_22_21 to 6_23_21\Data\PWR04_20210623_073000.wav	0.9065	PWR04_20210623_073000.wav	R	
